Run,Model,True_Label,Predicted_Label,Count
1,MobileNet (Mel),Cendet,Cendet,14
1,MobileNet (Mel),Cendet,Gereja,0
1,MobileNet (Mel),Cendet,Kutilang,3
1,MobileNet (Mel),Cendet,Perkutut,0
1,MobileNet (Mel),Cendet,Tekukur,0
1,MobileNet (Mel),Cendet,Trucukan,2
1,MobileNet (Mel),Gereja,Cendet,0
1,MobileNet (Mel),Gereja,Gereja,12
1,MobileNet (Mel),Gereja,Kutilang,1
1,MobileNet (Mel),Gereja,Perkutut,0
1,MobileNet (Mel),Gereja,Tekukur,0
1,MobileNet (Mel),Gereja,Trucukan,0
1,MobileNet (Mel),Kutilang,Cendet,1
1,MobileNet (Mel),Kutilang,Gereja,0
1,MobileNet (Mel),Kutilang,Kutilang,29
1,MobileNet (Mel),Kutilang,Perkutut,0
1,MobileNet (Mel),Kutilang,Tekukur,0
1,MobileNet (Mel),Kutilang,Trucukan,0
1,MobileNet (Mel),Perkutut,Cendet,0
1,MobileNet (Mel),Perkutut,Gereja,0
1,MobileNet (Mel),Perkutut,Kutilang,2
1,MobileNet (Mel),Perkutut,Perkutut,14
1,MobileNet (Mel),Perkutut,Tekukur,0
1,MobileNet (Mel),Perkutut,Trucukan,0
1,MobileNet (Mel),Tekukur,Cendet,0
1,MobileNet (Mel),Tekukur,Gereja,0
1,MobileNet (Mel),Tekukur,Kutilang,2
1,MobileNet (Mel),Tekukur,Perkutut,0
1,MobileNet (Mel),Tekukur,Tekukur,13
1,MobileNet (Mel),Tekukur,Trucukan,0
1,MobileNet (Mel),Trucukan,Cendet,0
1,MobileNet (Mel),Trucukan,Gereja,0
1,MobileNet (Mel),Trucukan,Kutilang,1
1,MobileNet (Mel),Trucukan,Perkutut,0
1,MobileNet (Mel),Trucukan,Tekukur,0
1,MobileNet (Mel),Trucukan,Trucukan,18
1,MobileNet (MFCC),Cendet,Cendet,17
1,MobileNet (MFCC),Cendet,Gereja,0
1,MobileNet (MFCC),Cendet,Kutilang,1
1,MobileNet (MFCC),Cendet,Perkutut,0
1,MobileNet (MFCC),Cendet,Tekukur,0
1,MobileNet (MFCC),Cendet,Trucukan,1
1,MobileNet (MFCC),Gereja,Cendet,1
