Run,Model,Accuracy,Precision,Recall,F1,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,MobileNet (Mel),0.9553571428571429,0.9587301587301588,0.9577119883040938,0.9569693349263243,1.0,2.996217972395243e-06,0.9553571343421936,0.11861155927181244
1,MobileNet (MFCC),0.9375,0.946154448621554,0.9394736842105263,0.9417522971520591,1.0,0.00012130117829656228,0.9375,0.24261169135570526
2,MobileNet (Mel),0.9821428571428571,0.9862903225806452,0.9784722222222223,0.9818707847665342,1.0,7.1954241320781875e-06,0.9821428656578064,0.0483567975461483
2,MobileNet (MFCC),0.9821428571428571,0.9812500000000001,0.9816239316239317,0.9808586262167455,1.0,5.428744407254271e-05,0.9821428656578064,0.06422193348407745
3,MobileNet (Mel),0.9464285714285714,0.9458297962648556,0.9400950292397661,0.9394940148562475,1.0,9.723795301397331e-06,0.9464285969734192,0.13773857057094574
3,MobileNet (MFCC),0.9642857142857143,0.9760765550239235,0.9632675438596493,0.9686559588936499,1.0,0.00016974512254819274,0.9464285969734192,0.28637486696243286
4,MobileNet (Mel),0.9821428571428571,0.985851726089417,0.9784075573549259,0.9818291630716134,1.0,3.556253432179801e-06,0.9821428656578064,0.1658400595188141
4,MobileNet (MFCC),0.9732142857142857,0.9812500000000001,0.9679908906882592,0.9738026363832816,1.0,4.47658276243601e-05,0.9732142686843872,0.1478606015443802
5,MobileNet (Mel),0.9464285714285714,0.9516447368421054,0.9336426000899686,0.9404491895578483,1.0,3.304727215436287e-05,0.9464285969734192,0.3701830506324768
5,MobileNet (MFCC),0.9107142857142857,0.9234070023543707,0.90019118308592,0.9071010860484545,1.0,0.00026954602799378335,0.9285714030265808,0.5470918416976929
6,MobileNet (Mel),0.9910714285714286,0.9895833333333334,0.9871794871794872,0.9879569892473118,1.0,4.845988587476313e-05,0.9732142686843872,0.050687987357378006
6,MobileNet (MFCC),0.9732142857142857,0.9737103174603176,0.9696356275303644,0.9703643966547193,1.0,0.0002496207889635116,0.9732142686843872,0.09112898260354996
7,MobileNet (Mel),0.9553571428571429,0.956879779577148,0.9464631129104814,0.950808991046682,1.0,3.19326609314885e-05,0.9553571343421936,0.2375846654176712
7,MobileNet (MFCC),0.9553571428571429,0.967304625199362,0.9488022941970312,0.9567418546365914,1.0,4.661937782657333e-05,0.9553571343421936,0.2592298686504364
8,MobileNet (Mel),0.9910714285714286,0.9901960784313726,0.9912280701754387,0.9904449904449905,1.0,2.6481959594093496e-06,0.9910714030265808,0.017160724848508835
8,MobileNet (MFCC),0.9464285714285714,0.9595588235294118,0.9473684210526317,0.9511382061785287,1.0,4.1369010432390496e-05,0.9375,0.17967787384986877
9,MobileNet (Mel),0.9642857142857143,0.9604966717869944,0.9585891812865497,0.9582407697572087,1.0,5.9778118156827986e-05,0.9642857313156128,0.13765063881874084
9,MobileNet (MFCC),0.9821428571428571,0.9827188940092166,0.9824561403508772,0.9820859110476596,1.0,4.6328614189405926e-06,0.9821428656578064,0.054323483258485794
10,MobileNet (Mel),0.9375,0.9395816391072559,0.9269005847953217,0.9270700560318047,1.0,3.0890191737853456e-06,0.9375,0.25188857316970825
10,MobileNet (MFCC),0.9196428571428571,0.9119232514309648,0.9164839181286549,0.9116009719730873,1.0,1.7303564163739793e-05,0.9196428656578064,0.29929283261299133
11,MobileNet (Mel),0.9821428571428571,0.9895833333333334,0.9808114035087719,0.9847428073234524,1.0,7.616650691488758e-05,0.9821428656578064,0.05680010840296745
11,MobileNet (MFCC),0.9732142857142857,0.9848484848484849,0.9720394736842106,0.9774278887182112,1.0,4.013617854070617e-06,0.9732142686843872,0.07226008921861649
12,MobileNet (Mel),0.9464285714285714,0.9565826330532213,0.9424342105263158,0.9474245078411746,1.0,2.923680085586966e-06,0.9464285969734192,0.2358952909708023
12,MobileNet (MFCC),0.9553571428571429,0.9537280701754387,0.9505116959064327,0.9511674139857501,1.0,1.1041899597330485e-05,0.9553571343421936,0.1647716611623764
13,MobileNet (Mel),0.9642857142857143,0.9678571428571429,0.963450292397661,0.9643302083980051,1.0,8.868376608006656e-05,0.9732142686843872,0.07439251244068146
13,MobileNet (MFCC),0.9642857142857143,0.9583333333333334,0.9657894736842105,0.9606265046943013,1.0,0.00015711599553469568,0.9642857313156128,0.08030720055103302
14,MobileNet (Mel),0.9821428571428571,0.9858517260894172,0.9801169590643276,0.9827487033014987,1.0,4.3640366129693575e-06,0.9821428656578064,0.034389473497867584
14,MobileNet (MFCC),0.9732142857142857,0.9708333333333333,0.9656517094017095,0.967554452715743,1.0,1.6241177945630625e-05,0.9732142686843872,0.04798419028520584
15,MobileNet (Mel),0.9732142857142857,0.9739469641846551,0.9697002923976608,0.9711995197093043,1.0,3.4941033391078236e-06,0.9732142686843872,0.08439002186059952
15,MobileNet (MFCC),0.9821428571428571,0.9814241486068113,0.9824561403508772,0.981673060620429,1.0,2.290703014296014e-05,0.9821428656578064,0.08231493085622787
16,MobileNet (Mel),0.9553571428571429,0.9575967938871166,0.9434294871794872,0.9479455465309511,1.0,2.8600863515748642e-05,0.9553571343421936,0.20491471886634827
16,MobileNet (MFCC),0.9375,0.9359330484330485,0.9258856275303643,0.9297899348302575,1.0,4.236019776726607e-06,0.9375,0.23077300190925598
17,MobileNet (Mel),0.9821428571428571,0.9842069892473119,0.9808114035087719,0.9823465883916703,1.0,3.0684898320032516e-06,0.9821428656578064,0.11149220168590546
17,MobileNet (MFCC),0.9642857142857143,0.9708333333333333,0.961622807017544,0.9646034371840825,1.0,6.645895336987451e-05,0.9553571343421936,0.27529260516166687
18,MobileNet (Mel),0.9732142857142857,0.9724014336917562,0.9697002923976608,0.969735022630772,1.0,1.8278598872711882e-05,0.9732142686843872,0.08204638212919235
18,MobileNet (MFCC),1.0,1.0,1.0,1.0,1.0,6.464892794610932e-05,0.9910714030265808,0.06994733959436417
19,MobileNet (Mel),0.9642857142857143,0.9620472120472122,0.9640800719748088,0.9625077815755781,1.0,7.195085345301777e-05,0.9732142686843872,0.08447862416505814
19,MobileNet (MFCC),0.9821428571428571,0.9797619047619048,0.9856725146198831,0.9822242929587564,1.0,7.468826515832916e-05,0.9821428656578064,0.11482763290405273
20,MobileNet (Mel),0.9732142857142857,0.9729166666666668,0.9688034188034189,0.9693628997210189,1.0,7.280536374310032e-05,0.9732142686843872,0.2776181399822235
20,MobileNet (MFCC),0.9732142857142857,0.9737103174603176,0.9688034188034189,0.9695765749346942,1.0,2.958907680294942e-05,0.9732142686843872,0.13587723672389984
21,MobileNet (Mel),0.9732142857142857,0.9742063492063492,0.9745614035087721,0.9737464697234812,1.0,8.919151878217235e-05,0.9732142686843872,0.12161310017108917
21,MobileNet (MFCC),0.9821428571428571,0.9842069892473119,0.9767628205128206,0.9798484047241319,1.0,3.214899379599956e-06,0.9821428656578064,0.06942551583051682
22,MobileNet (Mel),0.9553571428571429,0.9601347117794486,0.9538011695906432,0.9559005710626419,1.0,9.291107562603429e-05,0.9464285969734192,0.28835439682006836
22,MobileNet (MFCC),0.9732142857142857,0.9772727272727272,0.9713450292397661,0.9727984923527396,1.0,2.713527010200778e-06,0.9732142686843872,0.16573350131511688
23,MobileNet (Mel),0.9821428571428571,0.9861111111111112,0.9840277777777778,0.9847945960849187,1.0,6.460569420596585e-05,0.9642857313156128,0.10832478106021881
23,MobileNet (MFCC),0.9375,0.9343604108309992,0.9361195456590193,0.9330266880670107,1.0,4.040600833832286e-05,0.9285714030265808,0.3099518418312073
24,MobileNet (Mel),0.9642857142857143,0.9657509157509159,0.9600961538461538,0.9621671277677951,1.0,5.151597724761814e-05,0.9464285969734192,0.28963503241539
24,MobileNet (MFCC),0.9732142857142857,0.9785714285714286,0.9712072649572651,0.974068100358423,1.0,8.505282494297717e-06,0.9732142686843872,0.2966604232788086
