Run,Model,True_Label,Predicted_Label,Count
1,VGGish,Cendet,Cendet,15
1,VGGish,Cendet,Gereja,1
1,VGGish,Cendet,Kutilang,0
1,VGGish,Cendet,Perkutut,1
1,VGGish,Cendet,Tekukur,0
1,VGGish,Cendet,Trucukan,2
1,VGGish,Gereja,Cendet,1
1,VGGish,Gereja,Gereja,12
1,VGGish,Gereja,Kutilang,0
1,VGGish,Gereja,Perkutut,0
1,VGGish,Gereja,Tekukur,0
1,VGGish,Gereja,Trucukan,0
1,VGGish,Kutilang,Cendet,0
1,VGGish,Kutilang,Gereja,0
1,VGGish,Kutilang,Kutilang,30
1,VGGish,Kutilang,Perkutut,0
1,VGGish,Kutilang,Tekukur,0
1,VGGish,Kutilang,Trucukan,0
1,VGGish,Perkutut,Cendet,0
1,VGGish,Perkutut,Gereja,0
1,VGGish,Perkutut,Kutilang,0
1,VGGish,Perkutut,Perkutut,16
1,VGGish,Perkutut,Tekukur,0
1,VGGish,Perkutut,Trucukan,0
1,VGGish,Tekukur,Cendet,0
1,VGGish,Tekukur,Gereja,0
1,VGGish,Tekukur,Kutilang,0
1,VGGish,Tekukur,Perkutut,0
1,VGGish,Tekukur,Tekukur,15
1,VGGish,Tekukur,Trucukan,0
1,VGGish,Trucukan,Cendet,0
1,VGGish,Trucukan,Gereja,0
1,VGGish,Trucukan,Kutilang,2
1,VGGish,Trucukan,Perkutut,0
1,VGGish,Trucukan,Tekukur,0
1,VGGish,Trucukan,Trucukan,17
2,VGGish,Cendet,Cendet,17
2,VGGish,Cendet,Gereja,2
2,VGGish,Cendet,Kutilang,0
2,VGGish,Cendet,Perkutut,0
2,VGGish,Cendet,Tekukur,0
2,VGGish,Cendet,Trucukan,0
2,VGGish,Gereja,Cendet,0
2,VGGish,Gereja,Gereja,13
2,VGGish,Gereja,Kutilang,0
2,VGGish,Gereja,Perkutut,0
2,VGGish,Gereja,Tekukur,0
2,VGGish,Gereja,Trucukan,0
2,VGGish,Kutilang,Cendet,0
2,VGGish,Kutilang,Gereja,0
2,VGGish,Kutilang,Kutilang,29
2,VGGish,Kutilang,Perkutut,0
2,VGGish,Kutilang,Tekukur,0
2,VGGish,Kutilang,Trucukan,1
2,VGGish,Perkutut,Cendet,1
2,VGGish,Perkutut,Gereja,0
2,VGGish,Perkutut,Kutilang,0
2,VGGish,Perkutut,Perkutut,15
2,VGGish,Perkutut,Tekukur,0
2,VGGish,Perkutut,Trucukan,0
2,VGGish,Tekukur,Cendet,0
2,VGGish,Tekukur,Gereja,0
2,VGGish,Tekukur,Kutilang,0
2,VGGish,Tekukur,Perkutut,0
2,VGGish,Tekukur,Tekukur,15
